Relation Name,Description,Reference,Notes
about,Refers to a resource that is the subject of the link's context.,"[RFC6903], section 2",
alternate,Refers to a substitute for this context,[http://www.w3.org/TR/html5/links.html#link-type-alternate],
appendix,Refers to an appendix.,[http://www.w3.org/TR/1999/REC-html401-19991224],
archives,"Refers to a collection of records, documents, or other
      materials of historical interest.",[http://www.w3.org/TR/2011/WD-html5-20110113/links.html#rel-archives],
author,Refers to the context's author.,[http://www.w3.org/TR/html5/links.html#link-type-author],
bookmark,Gives a permanent link to use for bookmarking purposes.,[http://www.w3.org/TR/html5/links.html#link-type-bookmark],
canonical,Designates the preferred version of a resource (the IRI and its contents).,[RFC6596],
chapter,Refers to a chapter in a collection of resources.,[http://www.w3.org/TR/1999/REC-html401-19991224],
collection,The target IRI points to a resource which represents the collection resource for the context IRI.,[RFC6573],
contents,Refers to a table of contents.,[http://www.w3.org/TR/1999/REC-html401-19991224],
copyright,"Refers to a copyright statement that applies to the
    link's context.",[http://www.w3.org/TR/1999/REC-html401-19991224],
create-form,The target IRI points to a resource where a submission form can be obtained.,[RFC6861],
current,"Refers to a resource containing the most recent
      item(s) in a collection of resources.",[RFC5005],
describedby,"Refers to a resource providing information about the
      link's context.",[http://www.w3.org/TR/powder-dr/#assoc-linking],
describes,"The relationship A 'describes' B asserts that
      resource A provides a description of resource B. There are no
      constraints on the format or representation of either A or B,
      neither are there any further constraints on either resource.",[RFC6892],"This link relation type is the inverse of the 'describedby'
        relation type.  While 'describedby' establishes a relation from
        the described resource back to the resource that describes it,
        'describes' established a relation from the describing resource to
        the resource it describes.  If B is 'describedby' A, then A
        'describes' B."
disclosure,Refers to a list of patent disclosures made with respect to material for which 'disclosure' relation is specified.,[RFC6579],
duplicate,"Refers to a resource whose available representations
      are byte-for-byte identical with the corresponding representations of
      the context IRI.",[RFC6249],"This relation is for static resources.  That is, an HTTP GET
      request on any duplicate will return the same representation.  It
      does not make sense for dynamic or POSTable resources and should not
      be used for them."
